episode,reward,steps
1,1.0,9
2,-1.0,8
3,0.0,9
4,1.0,7
5,-1.0,8
6,-1.0,6
7,-1.0,6
8,0.0,9
9,1.0,7
10,1.0,7
11,0.0,9
12,0.0,9
13,1.0,9
14,-1.0,8
15,1.0,9
16,-1.0,8
17,1.0,5
18,-1.0,8
19,1.0,9
20,0.0,9
21,1.0,7
22,1.0,7
23,1.0,9
24,-1.0,6
25,1.0,7
26,1.0,9
27,1.0,9
28,1.0,7
29,1.0,7
30,0.0,9
31,-1.0,8
32,1.0,7
33,1.0,5
34,1.0,9
35,0.0,9
36,-1.0,8
37,-1.0,8
38,1.0,5
39,1.0,9
40,1.0,7
41,1.0,9
42,1.0,9
43,1.0,5
44,1.0,9
45,1.0,9
46,1.0,9
47,0.0,9
48,1.0,7
49,1.0,9
50,-1.0,8
51,1.0,9
52,1.0,5
53,-1.0,8
54,1.0,7
55,-1.0,8
56,-1.0,8
57,1.0,5
58,-1.0,6
59,0.0,9
60,1.0,7
61,1.0,7
62,1.0,9
63,1.0,9
64,1.0,7
65,-1.0,6
66,1.0,7
67,0.0,9
68,-1.0,8
69,1.0,7
70,-1.0,6
71,1.0,5
72,1.0,5
73,1.0,7
74,-1.0,6
75,1.0,5
76,1.0,7
77,1.0,5
78,1.0,9
79,1.0,5
80,1.0,9
81,1.0,9
82,1.0,7
83,1.0,9
84,1.0,7
85,-1.0,8
86,-1.0,8
87,-1.0,8
88,-1.0,6
89,1.0,9
90,-1.0,8
91,1.0,9
92,1.0,7
93,-1.0,6
94,1.0,9
95,1.0,9
96,1.0,5
97,0.0,9
98,-1.0,8
99,0.0,9
100,1.0,7
101,1.0,9
102,-1.0,8
103,-1.0,8
104,-1.0,8
105,-1.0,6
106,1.0,9
107,-1.0,6
108,1.0,5
109,1.0,9
110,1.0,7
111,1.0,7
112,-1.0,8
113,1.0,7
114,1.0,9
115,-1.0,6
116,-1.0,8
117,-1.0,6
118,0.0,9
119,-1.0,8
120,-1.0,8
121,1.0,7
122,-1.0,6
123,1.0,7
124,1.0,5
125,1.0,7
126,-1.0,8
127,1.0,7
128,1.0,9
129,-1.0,8
130,0.0,9
131,1.0,7
132,-1.0,6
133,1.0,7
134,1.0,9
135,1.0,5
136,0.0,9
137,-1.0,8
138,1.0,7
139,-1.0,8
140,0.0,9
141,-1.0,8
142,1.0,9
143,1.0,7
144,-1.0,8
145,1.0,9
146,1.0,9
147,-1.0,8
148,1.0,7
149,1.0,9
150,1.0,9
151,1.0,5
152,-1.0,8
153,1.0,5
154,-1.0,8
155,0.0,9
156,1.0,7
157,0.0,9
158,1.0,5
159,1.0,9
160,1.0,7
161,1.0,7
162,0.0,9
163,1.0,5
164,1.0,9
165,1.0,5
166,0.0,9
167,0.0,9
168,1.0,9
169,-1.0,8
170,-1.0,8
171,1.0,9
172,-1.0,6
173,0.0,9
174,1.0,5
175,1.0,7
176,-1.0,8
177,1.0,9
178,1.0,7
179,1.0,9
180,1.0,9
181,-1.0,8
182,1.0,7
183,1.0,5
184,-1.0,6
185,-1.0,8
186,-1.0,6
187,1.0,9
188,1.0,7
189,1.0,9
190,-1.0,8
191,-1.0,8
192,-1.0,8
193,1.0,9
194,1.0,7
